No,Name,Level,Form,Effect,Image,Book,,,,,,,,,,,,,,,,,,,
167,Fluttering recorder,1d6,Usable: Tiny insect made from metal,"Activation causes the device to sprout tiny wings and flutter up into the air, waiting for instructions. The user can give the device specific directions to travel to a place within 3 miles (5 km) of where it was activated. The cypher follows the directions it was given, exactly as they were given, until it can travel no farther or it arrives at its destination. There, it waits for one hour, recording everything it sees and hears. At the end of this time, the cypher flies back to where it received the instructions and plays back the recording by projecting the images it witnessed onto a flat surface and playing the audio through the speakers in its body. It repeats the recording 1d6 times and deactivates.",no,SATC,,,,,,,,,,,,,,,,,,,
168,Flying cap,1d6+2,"Wearable: Hat, helmet","Three metal poles extend out from the top of the device, which clamps onto the user’s head and cannot be removed for the duration. Two poles fold down on either side of the user’s head, while the third rises straight up and sprouts four blades that begin spinning. The blades function as a propeller and lift the user into the air. She can control the direction of the movement by using the poles to either side. The device allows her to fly by making a Speed roll (level 2) each round. She can fly a short distance each round in combat or about 1 mile (2 km) each minute. The device operates for 3d20 minutes before breaking up and deactivating. If the user is still in the air when it stops working, she falls.",no,SATC,,,,,,,,,,,,,,,,,,,
169,Foam limb,1d6+1,Usable: Canister,"If sprayed upon a creature, the foam builds an arm with a hand that mimics one of the creature’s existing limbs in appearance, if possible. (If not applicable, the default limb is a long, sinewy arm with a three-fingered hand.) The foam arm hardens to the consistency of the creature’s flesh and can be used by the creature as if it were its own. The new arm does not grant the creature additional actions or attacks in a round, but it can be useful for carrying things. If the arm is harmed, the creature suffers no ill effect. The arm lasts for 28 hours.",no,SATC,,,,,,,,,,,,,,,,,,,
170,Foam sprayer,1d6+1,Usable: Canister,"This device sprays foam on a target within immediate range. There is enough foam to cover up to three humans standing next to each other (or one larger target). Different kinds of foam have different effects. Roll a d6 to determine the foam in a given canister:
1 Hardens: All movement is halved, and the difficulty of all physical actions is increased by two steps for ten minutes.
2 Caustic: The foam burns like acid, inflicting 4 points of damage on the first round and 2 points of damage on the second round before becoming harmless.
3 Caustic and hardens: All movement is halved, the difficulty of all physical actions is increased by two steps for ten minutes, and the target suffers 4 points of damage.
4 Dampens energy: If sprayed upon any numenera item (or if the target is in possession of numenera items), the item's effective level is lowered by 4 for ten minutes. If this effect reduces the level of the item to 0, the item will not function for that time. Nonpowered numenera items, like pills, are not affected.
5 Dissolves metal: The level of a metal item covered in the foam is lowered by 4 permanently. If this effect reduces the level of the metal to 0, the item is destroyed.
6 Dissolves metal and dampens energy: The level of a metal item covered in the foam is lowered by 4 permanently. If this effect reduces the level of the metal to 0, the item is destroyed. Numenera items coated by the foam also have their level effectively lowered by 4 for ten minutes. If this effect reduces the level of the item to 0 or less, the item will not function for that time. Nonpowered numenera items, like pills, are not dampened.",no,SATC,,,,,,,,,,,,,,,,,,,
171,Fool killer,1d6+3,Usable: 2-inch (5 cm) crystal tetrahedron,"When activated, this crystal flies into the air and seeks the least intelligent sentient creature in long range, which takes one round. After finding its target, the crystal fires a bolt of energy similar to lightning at the creature. The bolt inflicts 10 points of Intellect damage (ignores Armor).",no,SATC,,,,,,,,,,,,,,,,,,,
172,Force cube projector,1d6+3,"Wearable: Belt, ring, bracelet
Usable: Handheld device","Creates an immobile cube composed of six planes of solid force, each 30 feet (9 m) to a side, for one hour. The planes conform to the space available.
[Despite the fact that the walls are not gaseous permeable, there is likely enough air within the cube created by a force cube projector for trapped creatures to breathe for the hour it lasts.]
[Some force walls, shields, and cubes are transparent. Others are translucent. A few are opaque.]",no,DISC,,,,,,,,,,,,,,,,,,,
173,Force nodule,1d6,Usable: Crystal nodule affixed to armor,"For the next 28 hours, the armor the nodule is attached to is bolstered by a powerful force field, adding 2 to the Armor it provides (adding 3 to the Armor if the cypher is level 5 or higher).",no,DISC,,,,,,,,,,,,,,,,,,,
174,Force screen projector,1d6+3,"Wearable: Belt, ring, bracelet
Usable: Handheld device",Creates an immobile plane of solid force up to 20 feet by 20 feet (6 m by 6 m) for one hour per cypher level. The plane conforms to the space available.,no,DISC,,,,,,,,,,,,,,,,,,,
175,Force shield projector,1d6+3,"Internal: Subdermal injection
Wearable: Belt, ring, bracelet
Usable: Handheld device","Creates a shimmering energy shield  round the user for one hour, during which time they gain +3 Armor (+4 Armor if the cypher is level 5 or higher).",no,DISC,,,,,,,,,,,,,,,,,,,
176,Freeze inducer,1d6+3,"Usable: Complex device, handheld device",This item is cold to the touch and may freeze to solid surfaces when not in use. The item is activated by being pressed against an object or creature weighing no more than 200 pounds (91 kg). Any liquid contained in the object freezes; a living creature takes a number of points of damage equal to the cypher level.,no,SATC,,,,,,,,,,,,,,,,,,,
177,Friction-reducing gel,1d6,Usable: Spray canister,"Sprayed across an area up to 10 feet (3 m) square, this gel makes things extremely slippery. For one hour per cypher level, movement tasks in the area are hindered by three steps.",no,DISC,,,,,,,,,,,,,,,,,,,
178,Frigid wall projector,1d6+2,Usable: Complex device,Creates a wall of supercooled air up to 30 feet by 30 feet by 1 foot (9 m by 9 m by 30 cm) that inflicts damage equal to the cypher level on anything that passes through it. The wall conforms to the space available. It lasts for ten minutes.,no,DISC,,,,,,,,,,,,,,,,,,,
179,Fungal garden,1d6+2,Usable: Vial filled with multicolored dust,"When a user pours out the contents of the vial, the dust sinks into any earthen or sandy surface it touches. One hour later, a field of mushrooms grows from the ground in a long radius centered on the spot where the dust fell. The mushrooms grow until they reach about 10 feet (3 m) tall on average. Each mushroom has a wide, colorful cap that spreads out in a 6-foot (2 m) radius.
Touching a mushroom causes spores to fall from the cap onto anything below. Each time this happens, roll a d6 to see what the spores do to all creatures they touch:
1–2 Bliss. The target experiences profound feelings of joy and happiness for one day.
3–4 Sadness. The target experiences profound feelings of sadness for one day.
5–6 Hallucinations. The target experiences visual and auditory hallucinations for one day. The hallucinations increase the difficulty of any task that involves seeing or hearing by one step.
[If the contents of a fungal garden are carefully mixed with the paste of a beauty mask (task difficulty 6), the resulting concoction is a cypher that can coat a surface or object about the size of a human. The stain left behind glows as bright as a glowglobe forever.]",no,SATC,,,,,,,,,,,,,,,,,,,
180,Gas bomb,1d6+2,"Wearable: Wristband projector (long range)
Usable: Explosive device or ceramic sphere (thrown, short range) or handheld projector (long range)","Bursts in a poisonous cloud within an immediate distance. The cloud lingers for 1d6 rounds unless conditions dictate otherwise. Effects vary:
01–10 Thick smoke: occludes sight while the cloud lasts.
11–20 Choking gas: living creatures that breathe lose their actions to choking and coughing for a number of rounds equal to the cypher level.
21–50 Poison gas: living creatures that breathe suffer damage equal to the cypher level.
51–60 Corrosive gas: everything suffers damage equal to the cypher level.
61–65 Hallucinogenic gas: living creatures that breathe lose their actions to hallucinations and visions for a number of rounds equal to the cypher level.
66–70 Nerve gas: living creatures that breathe suffer Speed damage equal to the cypher level.
71–80 Mind-numbing gas: living creatures that breathe suffer Intellect damage equal to the cypher level.
81–83 Fear gas: living creatures that breathe and think flee in a random direction in fear (or are paralyzed with fear) for a number of rounds equal to the cypher level.
84–86 Amnesia gas: living creatures that breathe and think permanently lose all memory of the last minute.
87–96 Sleep gas: living creatures that breathe fall asleep for a number of rounds equal to the cypher level or until awoken by a violent action or an extremely loud noise.
97–00 Rage gas: living creatures that breathe and think make a melee attack on the nearest creature and continue to do so for a number of rounds equal to the cypher level.",no,DISC,,,,,,,,,,,,,,,,,,,
181,Gel suit,1d6+2,Usable: A large container filled with gel,"To activate the device, the user must place his hand or foot into the container. The gel flows over his appendage and spreads across his body until it completely encases him. The gel retains its semiliquid consistency for 28 hours.
While the gel covers the user, it prevents him from taking damage from acid, cold, electricity, or fire. In addition, whenever he takes damage from being struck by an object, he temporarily gains +1 to Armor until the next round ends as the gel briefly hardens in response to the hit.",no,SATC,,,,,,,,,,,,,,,,,,,
182,Ghostly duplicate,1d6+1,"Wearable: Bracelet, necklace, ring
Usable: Handheld device","Effect: When activated, an incorporeal duplicate of the user appears and remains for ten minutes. The duplicate does not have a mind of its own. Rather, the user controls both forms, but only one at a time. Switching consciousness between forms is an action. While the user's consciousness focuses on one form, the other stands motionless. The duplicate moves at the same speed as the user's normal form, but there is no limit to how far apart the two can be.
The duplicate is ghostly and translucent. It can pass through solid matter and cannot be harmed except by special transdimensional weapons and effects. It likewise cannot affect normal matter in any way. While moving as the incorporeal duplicate, the user gains an asset for all stealth tasks.
When the duplicate's duration ends (or it is somehow destroyed), the user's mind returns to his normal body. If the normal body is slain, the user stays in the duplicate, but only for the remaining duration.",no,SATC,,,,,,,,,,,,,,,,,,,
183,Ghostly intruder,1d6+3,Usable: Handheld device,"Teleports the user to a location within sight and within long range. When she arrives, she is invisible for up to ten minutes. While invisible, she is specialized in stealth and Speed defense tasks.
This effect ends if she does something to reveal her presence or position, such as attacking, performing an esotery, using an ability, moving a large object, and so on. If this occurs, she can regain the remaining invisibility effect by taking an action to focus on hiding her position.",no,SATC,,,,,,,,,,,,,,,,,,,
184,Ghostly veil,1d6,"Usable: Metamaterial compound in a jar, tube, or box (enough for one application)","When applied to armor or a weapon, the metamaterial refracts light around the object, rending it nearly invisible for one hour. For anyone wearing veiled armor or using a veiled weapon, the difficulty of all tasks involving sneaking, being stealthy, and hiding is decreased by one step.",no,SATC,,,,,,,,,,,,,,,,,,,
185,Glass flame pellets,1d6+1,Usable: Handful of glass pellets,"If thrown—as a group—at the floor, the pellets burst into flame, filling the immediate area with fierce flames that burn for 28 hours, inflicting 6 points of damage to anyone in or passing through the area. There is just barely enough time for a character to drop the pellets and move out of the area of the fire in one action.",no,SATC,,,,,,,,,,,,,,,,,,,
186,Glass scorpion,1d6+1,Usable: Small scorpion made of glass,"When activated, the glass scorpion immediately moves in the direction it is pointed until it comes upon a living creature at least the size of a hound. It then attacks with the needlelike stinger in its tail as a creature of a level equal to the cypher level. The scorpion injects a poison that inflicts 3 points of damage per round for a number of rounds equal to the cypher level.
[If the GM wants to make the glass scorpion weaker, it can be a level 1 creature that has 3 health.]",c186,SATC,,,,,,,,,,,,,,,,,,,
187,Glowing tracker,1d6,"Wearable: Wristband projector (long range)
Usable: Handheld projector (long range); can be thrown against a hard object (short range)","The device explodes in a shower of gel filled with neon gas, covering everything within immediate range in brilliant green and orange. The color can be seen in the dark up to 1 mile (2 km) away and lasts for one hour.",no,SATC,,,,,,,,,,,,,,,,,,,
188,Goss,1d6,"Usable: A small, moist tongue","To activate the cypher, the user must place it under her tongue and then speak for up to one minute. The device records everything she says. At the end of this time, she can place it anywhere she chooses. For the next day, the device repeats whatever she said in her voice and tone to anyone who moves within 10 feet (3 m) of it. Once the device repeats the recording, it makes no further noise until another creature approaches, at which point it begins the speech all over again. When the effect ends, the device breaks up into chunks of foul-smelling filth.",no,SATC,,,,,,,,,,,,,,,,,,,
189,Grasshopper,1d6+2,"Wearable: Wrist projector, shoulder launcher (launched, long range)
Usable: Firm synth ball (thrown, short range)","When thrown, the grasshopper bounces 1d6 times about 5 feet (2 m) apart, setting off an explosion of shrapnel in each place it lands. Each explosion deals damage equal to the cypher level to all creatures in the immediate area of the bounce.",no,SATC,,,,,,,,,,,,,,,,,,,
190,Gravity dampener,1d6,"Wearable: Medallion, ring, boots","The device automatically activates whenever its user falls 10 feet (3 m) or more. The user floats down until he lands safely, taking no damage from the fall.",no,SATC,,,,,,,,,,,,,,,,,,,
191,Gravity nodule,1d6,Usable: Crystal nodule affixed to a melee weapon,"For the next 28 hours, the weapon the nodule is attached to seems to defy some element of gravitational pull, sliding faster through the air to seek and strike its target. The nodule essentially turns a heavy weapon into a medium weapon (usable in one hand) or a medium weapon into a light weapon (lowering the difficulty of attacks by one step). If attached to a light weapon, the nodule reduces the difficulty of attacks by another step. Damage remains unchanged in all cases.",no,SATC,,,,,,,,,,,,,,,,,,,
192,Gravity nullifier,1d6+3,"Internal: Subdermal injection 
Wearable: Belt, boots, ring, bracelet 
Usable: Small platform on which the user must stand","For one hour, the user can float into the air, moving vertically (but not horizontally without some other action, such as pushing along the ceiling) up to a short distance per round. The user must weigh less than 50 pounds (22 kg) per level of the cypher.
[Gravity nullifiers are frequently called flight rings or belts, levitators, or invisible wings. There is an isolated town in the Beyond called Thenerah where they are produced in number (as backmounted cylinders). The city is built with an extremely vertical mindset, with certain structures inaccessible to someone who cannot fly.]",no,DISC,,,,,,,,,,,,,,,,,,,
193,Gravity-nullifying spray,1d6+2,Usable: Spray canister,"A nonliving object up to the size of a human (two humans if the cypher is level 6 or higher) sprayed by this cypher floats 1d20 feet in the air permanently and no longer has weight if carried, though it needs to be strapped down.",no,DISC,,,,,,,,,,,,,,,,,,,
194,Ground orb,1d6,Usable: Handheld device,"Unfolds into a clear, padded synth orb about 8 feet (2 m) in diameter, with a large door that swings open. Once inside, the user can strap herself in and voice-program the orb with a location. The orb will roll to said location with the user inside, increasing travel speed along a road to about 5 miles (8 km) per hour and overland travel speed to about 4 miles (6 km) per hour during long-term movement.
Unfolding the orb is an action. Getting inside and programming it is also an action.",no,SATC,,,,,,,,,,,,,,,,,,,
195,Grow ray,1d6+2,Usable: Projector ray,"An inanimate object in short range grows twenty times its normal size and remains that way for 28 hours. The object’s mass increases as well, but not at the same rate—only enough to keep it from collapsing in on itself.",no,SATC,,,,,,,,,,,,,,,,,,,
196,Growth harness,1d6+2,Wearable: Harness that fits around the user’s torso,"This device draws mass to the user from another dimension, allowing her to grow 50 percent larger for one hour. During this time, she gains 12 points to her Might Pool and deals 2 additional points of damage with all melee attacks.",no,SATC,,,,,,,,,,,,,,,,,,,
197,Growth serum,1d6,Internal: Liquid that is injected or swallowed,"The user permanently grows a foot taller. This process is painful and takes 28 hours, during which time the affected character is impaired.",no,SATC,,,,,,,,,,,,,,,,,,,
198,Growth stimulator,1d10,"Usable: Spray bottle, aerosol projector","One plant touched by the liquid grows to ten times its normal, full-grown size in ten minutes. If conditions can’t support the plant, it soon dies.",no,SATC,,,,,,,,,,,,,,,,,,,
199,Grub armor,1d6+1,Usable: Canister of dried worms,"This cypher requires a bit of water to activate the dried worms in the can. Once activated, the grubs grow to enormous size in 1d6 rounds and swarm over the user’s body, providing +2 to Armor for one hour. Further, if the user is targeted by an effect that specifically affects a single creature, such as something that controls or reads her mind, one of the grubs is affected instead, effectively rendering the user immune to such things for the duration. This does not apply to straightforward physical attacks of any kind.",c199,SATC,,,,,,,,,,,,,,,,,,,
200,Gyre loop,1d6+2,"Usable: Complex device, handheld device","Generates a strong wind that blows in a path 5 feet (2 m) wide and 500 feet (152 m) long. The wind blows for one hour. The wind is strong enough to scatter papers and loose, lightweight objects, cause flames to gutter out, and drive back tiny creatures. The wind can also fill a sail to propel a wind-powered vehicle. The user can change the direction of the wind by simply moving the device so it faces a different way.",no,SATC,,,,,,,,,,,,,,,,,,,
201,Habiliment mirage,1d6,"Wearable: Lapel pin, bracelet, ring","The user activates the device and scans the resulting small beam of light over a piece of clothing, armor, or other accoutrement within long range. The device then creates a hologram of that outfit over and around the user, making it seem as if he is wearing it, right down to the details. The illusion lasts for one hour or until the device is removed from the user’s person.",no,SATC,,,,,,,,,,,,,,,,,,,
202,Hand of the conqueror,1d6+3,Wearable: Thin glove,"When activated, this thin glove becomes as tough as the hardest metal. Punch attacks made by the wearer inflict 1 additional point of damage. Further, the wearer’s hand can’t be harmed. He can handle hot lava or stick his hand into a grinder and suffer no ill effects (though the grinder might be wrecked). The effect lasts for 28 hours.",no,SATC,,,,,,,,,,,,,,,,,,,
203,Hanging cocoon,1d6,Usable: Handheld device,"After being given a firm shake, this device expands into a tapered, hanging, semienclosed tent large enough for one person. It can easily be hung from anything that will support the weight of a human. Opening and hanging the cocoon is a single action. Climbing into it is also an action. It lasts for one day before it begins to dissolve.",no,SATC,,,,,,,,,,,,,,,,,,,
204,Harassing companion,1d6+2,Usable: Metal cube,"When activated, this cube becomes a small flying automaton that harasses a target for one minute. It flies at the target, getting in the way of his eyes, his movements, and so on. The difficulty of the target’s actions is increased by one step. At any time, the user can take an action to command the automaton to bother a different target within short range.",no,SATC,,,,,,,,,,,,,,,,,,,
205,Head transference collar,8,Usable: Adjustable metal ring,"Effect: This collar fits around the neck of most creatures the size of a human or so. When activated, it slices the head cleanly from the body and preserves the head (and mind) of the creature for up to ten minutes, during which time the creature is fully conscious. If the headless body of another creature that has been dead for less than one hour is available, the head preserved by the collar can be grafted onto that body. Henceforth, the head now controls its new body as if it had always been its own. This is very likely to alter Might and Speed Pools (but not Intellect Pool) and possibly other qualities as well.
[GM Intrusion: An intelligent creature that remains fully aware when its head is detached from its body may go mad for a time or suffer permanent mental damage.]",no,SATC,,,,,,,,,,,,,,,,,,,
206,Healing nodule,1d6+1,Usable: Crystal nodule affixed to a melee weapon,"Once activated, this nodule functions for ten minutes. Whenever the weapon that the nodule is affixed to strikes a foe (or any hard surface), 1 point is restored to the wielder’s Might Pool. The nodule cannot restore more than 1 point per round.",no,SATC,,,,,,,,,,,,,,,,,,,
207,Health symbiote,1d6,"Internal: Inhalable powder
Usable: Injector","Activation inflicts 1 point of ambient damage as the symbiote becomes established in the user’s system. For the next 28 hours, the user is immune to diseases, poisons, and other toxins.",no,SATC,,,,,,,,,,,,,,,,,,,
208,Health viewer,1d6,"Wearable: Contact lenses, monocle, goggles
Usable: Small transparent panel","Allows the user to see through clothing and skin to view a creature’s insides. Lead blocks the special vision. The user can use this ability as an asset for any healing-related tasks. Once activated, the cypher functions for ten minutes.",c208,SATC,,,,,,,,,,,,,,,,,,,
209,Heartbeat lock,1d6,Usable: A 3-foot (1 m) coil of thin copper wire with a flat round disk on each end,"By placing the disks against the user’s chest for one minute, the device becomes synchronized with her heartbeat. After this, if the disks are pushed together, they form a seal that can be broken only when the device is exposed to the original heartbeat. Opening the lock destroys the locking mechanism.
[Some heartbeat locks are designed to work not just with an individual’s unique heart rhythm, but with her exact rhythm at the time of synchronization. That means that someone attempting to force the owner to open a heartbeat lock will likely fail—the stress of the situation will cause the owner’s pulse to race too hard to open the lock. Rhythm forgers—typically called rhythmers—are thieves who train extensively in biofeedback techniques to break into devices that rely on pulse rhythms and other physiological elements.]",no,SATC,,,,,,,,,,,,,,,,,,,
210,Heartburst,1d6+4,"Internal: Pill, implant
Wearable: Ring, bracelet, pendant","This device is keyed to the heartbeat of the user. If he dies, the device explodes, inflicting damage equal to the cypher level to all within immediate range.",no,SATC,,,,,,,,,,,,,,,,,,,
211,Heartlink,1d6+1,"Internal: Pill, implant
Wearable: Ring, bracelet, pendant","This device is keyed to the heartbeat of the user, so that if he dies, a designated intelligent creature will be informed telepathically.",no,SATC,,,,,,,,,,,,,,,,,,,
212,Heat nodule,1d6,Usable: Crystal nodule affixed to a melee weapon,"For the next 28 hours, each time the weapon the nodule is attached to strikes a solid creature or object, it generates a burst of heat, inflicting an additional 2 points of damage (3 points if the cypher is level 4 or higher, 4 points if the cypher is level 6 or higher).",no,DISC,,,,,,,,,,,,,,,,,,,
213,Heat sensor,1d6,"Internal: Pill, injector
Wearable: Goggles, spectacles, contact lenses
Usable: Handheld device with a screen","For one hour, the user can perceive objects and creatures based on the heat they emit. This may allow him to see otherwise invisible or hidden targets, or even certain objects inside other objects if their temperatures are vastly different.",no,SATC,,,,,,,,,,,,,,,,,,,
214,Heat sheath,1d6+1,Usable: Spray canister,"This spray can coat up to one melee weapon per cypher level, but all of the canister’s contents must be sprayed at once. Coated weapons inflict 1 additional point of damage from the heat they now generate. The coating wears off after 28 hours.",no,SATC,,,,,,,,,,,,,,,,,,,
215,Heat stone,1d6,Wearable: Lump of rock hanging from a necklace or set in a ring,The device activates when the user would take damage from heat or fire. The device reduces the damage to 0 and makes the user immune to heat and fire for one hour.,no,SATC,,,,,,,,,,,,,,,,,,,
216,Heatvision lenses,1d6,"Internal: Eye drops
Wearable: Eyeglasses, goggles, contact lenses","Allows the user to see infrared light for one hour. Warm creatures and objects register as bright reds, oranges, and yellows, while cool areas appear blue, purple, or black. The device allows the wearer to see in total darkness, though fine detail is impossible. A hot light source (such as the sun) effectively blinds the user while the source is in his field of view.",no,SATC,,,,,,,,,,,,,,,,,,,
217,Heliolithic halo,1d6,Wearable: Metallic ring 6 inches (15 cm) in diameter,"When activated, the ring hovers about 3 inches (8 cm) over a living creature and creates a psychic shield of white light to protect that creature. For the protected creature, the difficulty of all Intellect defense tasks is decreased by one step for one hour. Requires a sun prayer to activate (activation is an action).
[Many numenera devices require the user to speak words to activate them. In the case of the heliolithic halo, those words must include something to do with the sun and the worship of it in the language of the Truth.]",no,SATC,,,,,,,,,,,,,,,,,,,
218,Helping hand,1d6+1,"Usable: A metallic, seven-fingered hand","When activated, the hand hovers near the user for 28 hours. During that time, it acts as the user’s third hand—holding objects, opening doors, turning dials, and so on. The helping hand can also make attacks as the user might, with weapons provided to it, but all such attacks are modified by two steps to the user’s detriment.",c218,SATC,,,,,,,,,,,,,,,,,,,
219,Hidden reviver,1d6,"Wearable: Elaborate hair pin, locket necklace, double bracelet","This device is always disguised as a wearable object. When worn, the device does not count against your cypher limit. To use the device, you must first dismantle the disguised object and then rebuild it into its proper form as a handheld device. Then it can revive a depleted artifact for a single additional use.
One action to build the reviver from the parts, and one action to attempt to use it.",no,SATC,,,,,,,,,,,,,,,,,,,
220,History tap,1d6,"Wearable: Small disk that attaches to forehead, electronic bracelet, thick collar, stretchy gloves","As soon as you put on the device, it begins to pulse with a heat that runs along your skin and directly to your brain. If you think of a human or visitant that you’ve heard of but never met, the device grants you access to one random moment in that individual’s life. You see the moment as if in a dream and may remember only parts of it once the experience is over.",no,SATC,,,,,,,,,,,,,,,,,,,
221,Homunculus,1d6+2,"Internal: Pill, ingestible liquid
Usable: Injector","Causes a small blister to appear somewhere on the user’s body 1d6 days after activation. Every day thereafter for six days, the blister grows. After six days, the blister becomes so large that the difficulty of all the user’s rolls increases by one step. On day twelve, the blister reaches its ultimate size: a massive, fluid-filled sac that leaves the user incapacitated for a full 28 hours. When the last hour ends, the blister splits open and leaks a yellow slick of phlegmy substance.
In the midst of the mess is a level 1 creature about 18 inches (46 cm) tall. The creature can talk in any language the user knows and accompanies him wherever he goes, following his instructions. It vaguely resembles the user but is ugly and misshapen. It knows everything the user knows, and when it helps him perform a task other than attack or defend, the difficulty of the task is decreased by one step.
[“I am forever searching for the ability to create the perfect lab assistant. Every automaton, creature, or clone that I have produced thus far has met a rather sudden demise. Of course, that’s still better than the various fates of most of the assistants that I’ve hired from around the city.” ~Sir Arthour]",no,SATC,,,,,,,,,,,,,,,,,,,
222,Hover disk,1d6+1,Usable: A metal disk about 2 feet (0.6 m) across,"The user can stand on the disk, and for ten minutes it moves as she desires, up to a long distance each round. In a combat situation, she can take an action (other than moving) and still move a long distance. Because the disk is attuned to her thoughts, falling off is possible only if she loses consciousness or is struck by a tremendous force (usually one that inflicts more than 8 points of damage in one blow).",c218,SATC,,,,,,,,,,,,,,,,,,,
223,Hover module,1d6+2,Usable: Small metal and synth plate,"This cypher must be attached to another cypher or artifact (a level 4 task). Once attached, it no longer counts against a character’s cypher limit. The cypher or artifact it is attached to can be placed in the air and will remain there until someone grabs it and deactivates the hover property.
The module cannot be removed from the device without destroying both the module and the device.",no,SATC,,,,,,,,,,,,,,,,,,,
224,Hunter/seeker,1d6,"Wearable: Arm- or shoulder-mounted launcher
Usable: Complex device, handheld device","With long-range movement, this intelligent missile tracks and attacks a specified target (target must be within sight when selected). If it misses, it continues to attack one additional time per cypher level until it hits. For example, a level 4 hunter/seeker will attack a maximum of five times. Different hunter/seekers have different effects:
01–50 Inflicts 8 points of damage.
51–80 Bears a poisoned needle that inflicts 3 points of damage plus poison.
81–90 Explodes, inflicting 6 points of damage to all within immediate range.
91–95 Shocks for 4 points of electricity damage, and stuns (creature skips round) for one round per cypher level.
96–00 Covers target in sticky goo that immediately hardens, holding them fast until they break out with a Might action (difficulty equal to the cypher level + 2).",no,DISC,,,,,,,,,,,,,,,,,,,
225,Image caster,1d6,"Usable: Complex device, handheld device","Projects an ephemeral image within long range that looks real. The image looks like the user, speaks like the user, and moves as the user desires within long range for up to one hour. Physical interaction with the image shows it to be without substance.",no,SATC,,,,,,,,,,,,,,,,,,,
226,Image projector,1d6,"Wearable: Headband with device on forehead
Usable: Handheld device with glass panel","Projects one of the following immobile images in the area described for one hour. The image appears up to a close distance away (long distance if the cypher level is 4 or higher, very long distance if the cypher level is 6 or higher). Scenes include movement, sound, and smell.
01–20 Terrifying creature of an unknown species, perhaps no longer alive in the world (10-foot [3 m] cube)
21–40 Huge machine that obscures sight (30-foot [9 m] cube)
41–50 Beautiful pastoral scene (50-foot (15 m] cube)
51–60 Food that looks delicious but may not be familiar (10-foot [3 m] cube)
61–80 Solid color that obscures sight (50-foot [15 m] cube) 
81–00 Incomprehensible scene that is disorienting and strange (20-foot [6 m] cube)",c226,DISC,,,,,,,,,,,,,,,,,,,
227,Indestructible oil,1d6,"Usable: A small amount of oil, likely in a jar or flask","If a character coats an inanimate object with this oil, the object becomes almost indestructible (treat as level 10 for durability). One dose is enough for a single object about the size of a sword, a shield, or a small case.",no,SATC,,,,,,,,,,,,,,,,,,,
228,Inertia shield,1d6+4,"Wearable: Belt, body harness",An energy field surrounds the user for ten minutes. No physical object can penetrate the shield if that object is moving with any force that could be constituted as an attack. The field would deflect a strike from a broadsword or a bolt fired from a crossbow. Attacks using physical objects inflict no damage on the user until the effect ends.,no,SATC,,,,,,,,,,,,,,,,,,,
229,Inferno wall projector,1d6+2,Usable: Complex device,Creates a wall of extreme heat up to 30 feet by 30 feet by 1 foot (9 m by 9 m by 30 cm) that inflicts damage equal to the cypher level on anything that passes through it. The wall conforms to the space available. It lasts for ten minutes.,no,DISC,,,,,,,,,,,,,,,,,,,
230,Infiltrator,1d6,"Internal: Phases into eye, phases out when used
Wearable: Adheres to temple and launches projectile
Usable: Handheld device that launches projectile","Tiny capsule launches and moves at great speed, mapping and scanning an unknown area. It moves 500 feet (150 m) per level, scanning an area up to 50 feet (15 m) per level away from it. It identifies basic layout, creatures, and major energy sources. Its movement is blocked by any physical or energy barrier.",no,DISC,,,,,,,,,,,,,,,,,,,
231,Inflatable companion,1d6+2,Usable: Self-inflating blow-up companion,"Effect: Small device self-inflates into a companion that is roughly 4 feet (1 m) tall. It is a creature of a level equal to the cypher level and can understand verbal commands of the character who activates it. Once the companion has been activated, commanding it is not an action. It can make attacks or perform actions as ordered to the best of its abilities, but it cannot speak.
The companion has short-range movement but never goes farther than long range away from the character who activated it. The companion is not artificially intelligent or capable of initiating action other than performing its purpose, as designated by its form.
The GM should roll d100 ahead of time to decide what form the companion takes.
01–50 Attack creature: Takes the form of an aggressive creature in the Ninth World that does damage equal to the cypher level. The creature lasts for ten minutes. [To determine the specific form of an inflatable attack creature, GMs can choose at their discretion from the creatures on page 228 in the Numenera corebook.]
51–75 Protective automaton: Takes the form of a sentient defense system (such as a floating shield) that absorbs 1 point of damage that would normally be taken by the user each round. The system lasts for one hour.
76–00 Distracting humanoid: Takes the form of a humanoid figure that attempts to create a distraction. This causes the foe to become dazed, increasing the difficulty of all its tasks by one step. The humanoid lasts for three rounds.",no,SATC,,,,,,,,,,,,,,,,,,,
232,Inflatable suit,1d6,"Internal: Pill, ingestible liquid
Wearable: Full bodysuit","Causes a number of bags to suddenly inflate all over the user’s body. The inflated bags protect him from damage sustained from impacts, such as one resulting from a fall or a great concussive force. The bags remain inflated for one minute and then deflate with a tremendous noise. While the bags are inflated, the difficulty of the user’s Might rolls and Speed rolls is increased by one step.",no,SATC,,,,,,,,,,,,,,,,,,,
